%,persen
yakalo,iya kalau
yakinn,yakin
yakk,ya
yam,ya
yampon,ya ampun
yanckh,yang
yangbkalah,yang kalah
yank,sayang
yankkk,sayang
yaoloh,yaallah
yaolohh,ya allah
yap,iya
yapp,ya
yappp,ya
yapz,iya
yaqin,yakin
yarat,syarat
yasudahlah,ya sudah lah
yaudah,ya sudah
yaudehh,ya sudahlah
yaudh,ya sudah
yauwda,ya sudah
yawdah,ya sudah
yawlah,ya allah
yawloh,ya allah
yayang,sayang
ybs,yang bersangkutan
ye,ya
yee,ya
yeee,ya
yeeee,ya
yep,ya
yess,iya
yessss,ya
yeuh,ya
yg,yang
ygdiundang,yang diundang
ygs,sayang
ygy,ya enggak ya
yh,ya
yha,ya
yhaaa,ya
yi,yaitu
yl,yang lain
yme,yang maha esa
yng,yang
ynk,sayang
yo,iya
yoh,ya
yoha,iya
yoiii,yoi
yoiiu,yoi
yok,yuk
yokk,yuk
yokkk,yuk
yoo,ayo
yook,yuk
yoooiii,yoi
yoookkkk,yuk
yooookkk,yuk
yooow,ya
you,kamu
you know,kamu tahu
yowes,ya sudah
yowesss,ya sudah
yq,yang
ysh,ya
yth,yang terhormat
yu,yuk
yudikatip,yudikatif
yuh,tuh
yuk,ayo
yukk,yuk
yukkk,ayo
yukkkk,yuk
yuks,yuk
yukss,yuk
yup,iya
yuppss,ya
yups,ya
yutup,youtube
yuu,yuk
yuuk,yuk
yuukk,yuk
yuukkk,yuk
yuuks,yuk
yuuu,yuk
yuuuk,yuk
yuuuuk,yuk
yuuuukkk,yuk
yuwkkk,yuk
ywdh,ya sudah
yya,ya
yyaaa,ya
z,saja
za,saja
zama,zaman
zholim,zalim
zholimin,zalimi
zhuhur,zuhur
zinah,zina
zonk,bodoh
TRUE,benar
FALSE,salah
palatao,sok tahu
palatau,sok tahu
pompuan,perempuan
krjaannya,kerjaannya
piro,berapa
